vox;algo;r1;ph;wf;ntf;snr;param;evalue;tvalue
10;LQ;1.5;0;0;0;5;m0est;1.041483;1.000000
10;LQ;1.5;0;0;0;5;bbya;1.953556;2.000000
1;LQ;2;0;0;0;5;t1est;2.008217;2.000000
1;LQ;2;0;0;0;5;m0est;1.073729;1.000000
1;LQ;2;0;0;0;5;bbya;1.992228;2.000000
2;LQ;2;0;0;0;5;t1est;1.941094;2.000000
2;LQ;2;0;0;0;5;m0est;0.942932;1.000000
2;LQ;2;0;0;0;5;bbya;2.176795;2.000000
3;LQ;2;0;0;0;5;t1est;1.803577;2.000000
3;LQ;2;0;0;0;5;m0est;1.003424;1.000000
3;LQ;2;0;0;0;5;bbya;1.997128;2.000000
4;LQ;2;0;0;0;5;t1est;2.006396;2.000000
4;LQ;2;0;0;0;5;m0est;1.032717;1.000000
4;LQ;2;0;0;0;5;bbya;2.015545;2.000000
5;LQ;2;0;0;0;5;t1est;2.195018;2.000000
5;LQ;2;0;0;0;5;m0est;1.025011;1.000000
5;LQ;2;0;0;0;5;bbya;2.093560;2.000000
6;LQ;2;0;0;0;5;t1est;2.073693;2.000000
6;LQ;2;0;0;0;5;m0est;1.055690;1.000000
6;LQ;2;0;0;0;5;bbya;1.987470;2.000000
7;LQ;2;0;0;0;5;t1est;2.150734;2.000000
7;LQ;2;0;0;0;5;m0est;0.936330;1.000000
7;LQ;2;0;0;0;5;bbya;2.348226;2.000000
8;LQ;2;0;0;0;5;t1est;2.064099;2.000000
8;LQ;2;0;0;0;5;m0est;1.007077;1.000000
8;LQ;2;0;0;0;5;bbya;2.113003;2.000000
9;LQ;2;0;0;0;5;t1est;2.119156;2.000000
9;LQ;2;0;0;0;5;m0est;1.066819;1.000000
9;LQ;2;0;0;0;5;bbya;2.083787;2.000000
10;LQ;2;0;0;0;5;t1est;1.815177;2.000000
10;LQ;2;0;0;0;5;m0est;1.089562;1.000000
10;LQ;2;0;0;0;5;bbya;1.921484;2.000000
1;LQ;2.5;0;0;0;5;t1est;2.598911;2.500000
1;LQ;2.5;0;0;0;5;m0est;0.840710;1.000000
1;LQ;2.5;0;0;0;5;bbya;2.442524;2.000000
2;LQ;2.5;0;0;0;5;t1est;2.407549;2.500000
2;LQ;2.5;0;0;0;5;m0est;0.889320;1.000000
2;LQ;2.5;0;0;0;5;bbya;2.315393;2.000000
3;LQ;2.5;0;0;0;5;t1est;2.626048;2.500000
3;LQ;2.5;0;0;0;5;m0est;0.964436;1.000000
3;LQ;2.5;0;0;0;5;bbya;2.147935;2.000000
4;LQ;2.5;0;0;0;5;t1est;2.443173;2.500000
4;LQ;2.5;0;0;0;5;m0est;0.962029;1.000000
4;LQ;2.5;0;0;0;5;bbya;2.176400;2.000000
5;LQ;2.5;0;0;0;5;t1est;2.482271;2.500000
5;LQ;2.5;0;0;0;5;m0est;1.028838;1.000000
5;LQ;2.5;0;0;0;5;bbya;2.057430;2.000000
6;LQ;2.5;0;0;0;5;t1est;2.618095;2.500000
6;LQ;2.5;0;0;0;5;m0est;0.941369;1.000000
6;LQ;2.5;0;0;0;5;bbya;2.282445;2.000000
7;LQ;2.5;0;0;0;5;t1est;2.317064;2.500000
7;LQ;2.5;0;0;0;5;m0est;0.997096;1.000000
7;LQ;2.5;0;0;0;5;bbya;2.025806;2.000000
8;LQ;2.5;0;0;0;5;t1est;2.427730;2.500000
8;LQ;2.5;0;0;0;5;m0est;0.944597;1.000000
8;LQ;2.5;0;0;0;5;bbya;2.155228;2.000000
9;LQ;2.5;0;0;0;5;t1est;2.387068;2.500000
9;LQ;2.5;0;0;0;5;m0est;0.897130;1.000000
9;LQ;2.5;0;0;0;5;bbya;2.297370;2.000000
10;LQ;2.5;0;0;0;5;t1est;2.527136;2.500000
10;LQ;2.5;0;0;0;5;m0est;0.997615;1.000000
10;LQ;2.5;0;0;0;5;bbya;2.033793;2.000000
1;LQ;0.5;45;0;0;5;t1est;0.528215;0.500000
1;LQ;0.5;45;0;0;5;m0est;0.992503;1.000000
1;LQ;0.5;45;0;0;5;bbya;2.059994;2.000000
2;LQ;0.5;45;0;0;5;t1est;0.624664;0.500000
2;LQ;0.5;45;0;0;5;m0est;1.036606;1.000000
2;LQ;0.5;45;0;0;5;bbya;2.247627;2.000000
3;LQ;0.5;45;0;0;5;t1est;0.437889;0.500000
3;LQ;0.5;45;0;0;5;m0est;1.001594;1.000000
3;LQ;0.5;45;0;0;5;bbya;1.876278;2.000000
4;LQ;0.5;45;0;0;5;t1est;0.500676;0.500000
4;LQ;0.5;45;0;0;5;m0est;1.024282;1.000000
4;LQ;0.5;45;0;0;5;bbya;2.034325;2.000000
5;LQ;0.5;45;0;0;5;t1est;0.536877;0.500000
5;LQ;0.5;45;0;0;5;m0est;1.023475;1.000000
5;LQ;0.5;45;0;0;5;bbya;2.224027;2.000000
6;LQ;0.5;45;0;0;5;t1est;0.506440;0.500000
6;LQ;0.5;45;0;0;5;m0est;1.018440;1.000000
6;LQ;0.5;45;0;0;5;bbya;2.277393;2.000000
7;LQ;0.5;45;0;0;5;t1est;0.538914;0.500000
7;LQ;0.5;45;0;0;5;m0est;1.040910;1.000000
7;LQ;0.5;45;0;0;5;bbya;2.029841;2.000000
8;LQ;0.5;45;0;0;5;t1est;0.548295;0.500000
8;LQ;0.5;45;0;0;5;m0est;0.990447;1.000000
8;LQ;0.5;45;0;0;5;bbya;2.159225;2.000000
9;LQ;0.5;45;0;0;5;t1est;0.575482;0.500000
9;LQ;0.5;45;0;0;5;m0est;0.983360;1.000000
9;LQ;0.5;45;0;0;5;bbya;2.295047;2.000000
10;LQ;0.5;45;0;0;5;t1est;0.464991;0.500000
10;LQ;0.5;45;0;0;5;m0est;1.019294;1.000000
10;LQ;0.5;45;0;0;5;bbya;2.017655;2.000000
1;LQ;1;45;0;0;5;t1est;1.076329;1.000000
1;LQ;1;45;0;0;5;m0est;1.021048;1.000000
1;LQ;1;45;0;0;5;bbya;2.107858;2.000000
2;LQ;1;45;0;0;5;t1est;1.069803;1.000000
2;LQ;1;45;0;0;5;m0est;1.005975;1.000000
2;LQ;1;45;0;0;5;bbya;2.192086;2.000000
3;LQ;1;45;0;0;5;t1est;0.977946;1.000000
3;LQ;1;45;0;0;5;m0est;0.988708;1.000000
3;LQ;1;45;0;0;5;bbya;2.173406;2.000000
4;LQ;1;45;0;0;5;t1est;1.097934;1.000000
4;LQ;1;45;0;0;5;m0est;1.016309;1.000000
4;LQ;1;45;0;0;5;bbya;2.051893;2.000000
5;LQ;1;45;0;0;5;t1est;1.121150;1.000000
5;LQ;1;45;0;0;5;m0est;1.024518;1.000000
5;LQ;1;45;0;0;5;bbya;2.162239;2.000000
6;LQ;1;45;0;0;5;t1est;0.937753;1.000000
6;LQ;1;45;0;0;5;m0est;1.054728;1.000000
6;LQ;1;45;0;0;5;bbya;1.957881;2.000000
7;LQ;1;45;0;0;5;t1est;0.958688;1.000000
7;LQ;1;45;0;0;5;m0est;0.990278;1.000000
7;LQ;1;45;0;0;5;bbya;2.054366;2.000000
8;LQ;1;45;0;0;5;t1est;0.945326;1.000000
8;LQ;1;45;0;0;5;m0est;1.010034;1.000000
8;LQ;1;45;0;0;5;bbya;2.044650;2.000000
9;LQ;1;45;0;0;5;t1est;1.067883;1.000000
9;LQ;1;45;0;0;5;m0est;1.025168;1.000000
9;LQ;1;45;0;0;5;bbya;2.145290;2.000000
10;LQ;1;45;0;0;5;t1est;1.039680;1.000000
10;LQ;1;45;0;0;5;m0est;0.988202;1.000000
10;LQ;1;45;0;0;5;bbya;2.167412;2.000000
1;LQ;1.5;45;0;0;5;t1est;1.303062;1.500000
1;LQ;1.5;45;0;0;5;m0est;1.036598;1.000000
1;LQ;1.5;45;0;0;5;bbya;1.881920;2.000000
2;LQ;1.5;45;0;0;5;t1est;1.328456;1.500000
2;LQ;1.5;45;0;0;5;m0est;0.982742;1.000000
2;LQ;1.5;45;0;0;5;bbya;2.095886;2.000000
